team,位置,球员名,出场,时间,进球,助攻,射门,射正,射正率,黄牌,红牌,犯规,被犯,越位,扑救,matches_count,lastest_match_date,control_rate,cornerkick
科隆,{},nan,nan,nan,7.0,6.0,123.0,43.0,0.34959349593495936,16.0,0.0,120.0,111.0,26.0,34.0,8,2018-01-14,0.48499999999999993,37
门兴,{},nan,nan,nan,14.0,9.0,135.0,43.0,0.31851851851851853,12.0,0.0,103.0,102.0,19.0,28.0,9,2018-01-20,0.5255555555555556,134
法兰克福,{},nan,nan,nan,12.0,8.0,130.0,48.0,0.36923076923076925,23.0,1.0,151.0,149.0,29.0,25.0,10,2018-01-27,0.49000000000000005,56
霍芬海姆,{},nan,nan,nan,16.0,12.0,126.0,46.0,0.36507936507936506,17.0,0.0,147.0,143.0,23.0,32.0,10,2018-01-20,0.5109999999999999,32
奥格斯堡,{},nan,nan,nan,16.0,11.0,153.0,55.0,0.35947712418300654,17.0,0.0,129.0,125.0,28.0,33.0,10,2018-01-13,0.472,75
美因茨,{},nan,nan,nan,15.0,10.0,139.0,48.0,0.34532374100719426,18.0,1.0,150.0,145.0,18.0,18.0,10,2018-01-20,0.471,91
多特蒙德,{},nan,nan,nan,22.0,11.0,147.0,52.0,0.35374149659863946,9.0,2.0,97.0,109.0,29.0,28.0,9,2018-01-15,0.6077777777777779,45
不莱梅,{},nan,nan,nan,9.0,8.0,136.0,42.0,0.3088235294117647,13.0,0.0,121.0,132.0,16.0,36.0,9,2018-01-13,0.46444444444444444,46
汉堡,{},nan,nan,nan,7.0,5.0,135.0,49.0,0.362962962962963,17.0,1.0,147.0,160.0,16.0,20.0,10,2018-01-21,0.47800000000000004,103
勒沃库森,{},nan,nan,nan,16.0,12.0,132.0,50.0,0.3787878787878788,12.0,1.0,100.0,122.0,20.0,14.0,8,2018-01-13,0.5262500000000001,127
沙尔克04,{},nan,nan,nan,15.0,7.0,114.0,47.0,0.41228070175438597,18.0,0.0,151.0,138.0,17.0,26.0,9,2018-01-22,0.4677777777777778,34
RB莱比锡,{},nan,nan,nan,20.0,15.0,153.0,59.0,0.38562091503267976,10.0,1.0,116.0,132.0,27.0,26.0,9,2018-01-14,0.6022222222222223,43
斯图加特,{},nan,nan,nan,7.0,5.0,106.0,34.0,0.32075471698113206,14.0,0.0,100.0,108.0,20.0,21.0,8,2018-01-13,0.5312500000000001,45
弗赖堡,{},nan,nan,nan,10.0,6.0,152.0,40.0,0.2631578947368421,15.0,1.0,131.0,148.0,17.0,29.0,10,2018-01-20,0.466,49
汉诺威96,{},nan,nan,nan,18.0,9.0,135.0,40.0,0.2962962962962963,14.0,0.0,133.0,138.0,17.0,27.0,9,2018-01-13,0.49444444444444435,43
柏林赫塔,{},nan,nan,nan,16.0,14.0,97.0,43.0,0.44329896907216493,15.0,1.0,137.0,138.0,16.0,33.0,10,2018-01-20,0.45600000000000007,126
拜仁,{},nan,nan,nan,21.0,16.0,154.0,62.0,0.4025974025974026,6.0,0.0,65.0,78.0,23.0,17.0,7,2018-01-21,0.6699999999999999,56
沃尔夫斯堡,{},nan,nan,nan,15.0,10.0,132.0,49.0,0.3712121212121212,10.0,2.0,102.0,172.0,22.0,36.0,10,2018-01-20,0.496,43
