team,位置,球员名,出场,时间,进球,助攻,射门,射正,射正率,黄牌,红牌,犯规,被犯,越位,扑救,matches_count,lastest_match_date,control_rate,cornerkick
科隆,0,0,0,0,13.0,11.0,221.0,63.0,2.5595934959349598,33.0,1.0,261.0,245.0,39.0,74.0,0,2018-01-21,0.44333333333333325,0
门兴,0,0,0,0,29.0,16.0,261.0,93.0,4.598518518518519,27.0,0,227.0,213.0,38.0,62.0,0,2018-01-27,0.5047368421052632,0
法兰克福,0,0,0,0,25.0,18.0,234.0,90.0,4.769230769230768,46.0,1.0,345.0,279.0,54.0,59.0,0,2018-01-27,0.44800000000000006,0
汉堡,0,0,0,0,14.0,8.0,218.0,76.0,3.052962962962963,30.0,2.0,272.0,257.0,28.0,40.0,0,2018-01-21,0.4672222222222222,0
奥格斯堡,0,0,0,0,27.0,18.0,260.0,86.0,2.739477124183007,29.0,0,240.0,219.0,40.0,64.0,0,2018-01-20,0.4627777777777778,0
美因茨,0,0,0,0,23.0,16.0,228.0,85.0,3.6253237410071946,35.0,1.0,285.0,247.0,35.0,54.0,0,2018-01-20,0.4655555555555555,0
多特蒙德,0,0,0,0,38.0,22.0,282.0,100.0,3.763741496598639,17.0,3.0,206.0,231.0,40.0,53.0,0,2018-01-20,0.6322222222222222,0
不莱梅,0,0,0,0,15.0,11.0,236.0,78.0,3.908823529411765,29.0,0,283.0,244.0,37.0,80.0,0,2018-01-21,0.4505263157894737,0
霍芬海姆,0,0,0,0,25.0,20.0,224.0,82.0,3.415079365079365,39.0,0,282.0,243.0,36.0,56.0,0,2018-01-20,0.5216666666666667,0
勒沃库森,0,0,0,0,37.0,32.0,272.0,100.0,4.048787878787879,29.0,1.0,257.0,259.0,32.0,45.0,0,2018-01-20,0.5283333333333334,0
沙尔克04,0,0,0,0,26.0,16.0,219.0,89.0,4.082280701754386,38.0,0,304.0,282.0,37.0,46.0,0,2018-01-22,0.5005555555555555,0
RB莱比锡,0,0,0,0,29.0,23.0,266.0,98.0,3.39562091503268,22.0,3.0,236.0,241.0,52.0,55.0,0,2018-01-20,0.5905882352941176,0
斯图加特,0,0,0,0,13.0,8.0,206.0,67.0,3.9207547169811323,30.0,1.0,246.0,231.0,43.0,57.0,0,2018-01-20,0.5083333333333333,0
弗赖堡,0,0,0,0,20.0,14.0,236.0,75.0,3.703157894736842,26.0,3.0,244.0,244.0,25.0,71.0,0,2018-01-20,0.4410526315789473,0
汉诺威96,0,0,0,0,28.0,16.0,252.0,80.0,3.816296296296296,38.0,0,278.0,275.0,30.0,74.0,0,2018-01-22,0.4773684210526316,0
柏林赫塔,0,0,0,0,27.0,21.0,176.0,78.0,4.453298969072165,30.0,3.0,265.0,266.0,28.0,66.0,0,2018-01-20,0.4421052631578948,0
拜仁,0,0,0,0,38.0,29.0,322.0,120.0,3.9525974025974024,23.0,0,183.0,206.0,43.0,37.0,0,2018-01-21,0.6488235294117647,0
沃尔夫斯堡,0,0,0,0,22.0,16.0,198.0,74.0,3.741212121212121,27.0,3.0,229.0,285.0,33.0,75.0,0,2018-01-20,0.4963157894736842,0
